,index,id,내용,실제값,svc예측값,lr예측값,nb예측값,
294,4911,https://www.instagram.com/p/BPepR0ihkuO/,febo 네덜란드여행 암스텔담 반미리 베트남샌드위치전문점 반미샌드위치 해방촌  haebangchon hbc 반미리 banhmilee 베트남 이태원맛집 해방촌맛집 경리단길맛집 맛스타그램 seoul 프랜차이즈 맛집,0,1,1,1,
296,4447,https://www.instagram.com/p/BY0qme2ALcP/,운수대통한날 먹을때마다자주는효녀,1,0,0,0,
298,3883,https://www.instagram.com/p/BKxclE9BHT6/,이태원계단장 한남동 플리마켓 우사단길 우사단10길 계단장,1,0,0,0,
300,9440,https://www.instagram.com/p/BZcgvFQjm04/,가을 아침 cafe 한남동카페 일상 마실 카페 날씨 가을 계절 커피 카페 일상 데일리 dailyphoto ootd dailylook look shoes fashion streetfashion,1,0,0,0,
307,6084,https://www.instagram.com/p/Bb2TAgBl2gh/,all 이태원 이태원맛집 이태원핫플 이태원동 감성,0,1,1,1,
310,8508,https://www.instagram.com/p/BbcHSJohws7/,라인 라인스토어 라인프렌즈 라인카페 카페 카페스타그램 넘나예쁜것 인테리어 세트장 포토존 먹스타그램 맛스타그램 먹스타 이태원 이태원카페 이태원맛집 일상 일상스타그램 좋아요 선팔 팔로우,0,1,1,1,
325,8081,https://www.instagram.com/p/BHUxiWAgKjH/,싸인샵 페인팅샵 이태원 한남동 우사단길 피규어 bigboy 빅보이 50s 60s 레트로 공사중 오늘 일상,1,0,0,0,
326,3930,https://www.instagram.com/p/BVlGincFGK6/,데일리 일상 힐링 먹스타그램 맛스타그램 선팔 맞팔 소통 좋아요 팔로우 맥주 맛집 카페 루프탑 루프탑바 존예 세젤예 이태원 이태원카페 경리단길 경리단길카페 경리단길루프탑 substance like4like f4f rooftop beer cafe,0,1,1,1,
327,1756,https://www.instagram.com/p/9QCIG_SCEC/,이태원수박 우사단길 이태원 수박 소품샵,1,0,0,0,
329,2501,https://www.instagram.com/p/BZ-p4lIHpYl/,dokoro 도코로 유르트스튜디오 yurtstudio cafe 카페 디저트 dessert 당근케이크 carrotcake 한남동카페 루프탑카페,0,1,1,1,
330,2021,https://www.instagram.com/p/BPCYqgrDNcI/,workinghoursMonday: 7294court 7294ct 7294코트 ca0da korea nike jordan adidas asics newbalance puma mitchellandness diamondsupply 이태원 경리단길 보석길 오픈 감사합니다 workinghours 영업시간 7294,1,0,0,0,
333,1804,https://www.instagram.com/p/BSYZ1teBA97/,주말데이트오랜만에 뚜벅이커플 해방촌 경리단길 우사단길 ootd 주말 데이트 날씨 너무좋아서 계속걸어도 좋아              히태 사진 좋아요                         ,1,0,0,0,
334,738,https://www.instagram.com/p/Bb8-mnGgNsE/,일상 데일리 데일리룩 먹방 먹스타그램 맛스타그램 맛집 이태원 한남동 이태원맛집 한남동맛집 후지야마소바 우동 돈부리 부타동 일식 저녁 저녁식사 daily dailylook foodporn foodpic foodstagram itaewon ootd 오오티디 팔로우,0,1,1,1,
339,5322,https://www.instagram.com/p/x1P61ytbOk/,경리단길 보석길 드로잉블라인드 트윈피그,0,1,1,1,
341,5320,https://www.instagram.com/p/BM6nOnMlBMv/,사진스타그램 이태원 신흥시장 해방촌 카페 cafe 오랑오랑 orangorang 해방촌카페 분위기 빈티지 감성 이태원카페 itaewon 일상 좋아요,0,1,1,1,
342,1257,https://www.instagram.com/p/BYreX6nH0LN/,이태원 이태원거리 반얀트리 이태원펍 비 bee 앱솔루트 앱솔 보드카 거울샷 용산 이태원동 이태원카페 이태원술집 여자셋 수다 이태원맛집 인천 구월동 부평 주안 송도 청라,0,1,1,1,
346,289,https://www.instagram.com/p/BbmfWW7lDl9/,이태원로드 이태원술집 분위기좋은바 이태원바 이태원맛집 헨드릭스진 이태원데이트 로드 술스타그램 연말모임장소 파티장소,0,1,1,1,
349,1166,https://www.instagram.com/p/BbGgel3h1IP/,클라우디아플라워 클라우디아 이태원꽃집 이태원 경리단길 경리단길꽃집 예쁜꽃집 꽃집추천 이태원데이트 이태원맛집 이태원카페 탑기어장미 플라워박스 꽃바구니 꽃다발 부케 꽃스타그램 인스타플라워 꽃선물 기념일선물 프로포즈꽃다발 결혼선물 플라워레슨 원데이클래스 힐링 꽃수업 럽스타그램 플로리스트 일상 데일리,1,0,0,0,
350,9894,https://www.instagram.com/p/BZV3sM7FCMT/,내가찍음 갤럭시s8플러스 일상 일상사진 일상스타그램 해방촌 해방촌맛집 마이쥬스 청포도쥬스,0,1,1,1,
351,3099,https://www.instagram.com/p/BZI8sOxgt0y/,마고 샤토라뚜르드몽 1993빈티지 와인 디너 한남동맛집 로얄맨션 chateaumargaux chateaulatourdemont 1993vintage wine sunday dinner seoulista_j daily living lifestyle,0,1,1,1,
353,2090,https://www.instagram.com/p/BC7YyH_qDh4/,Selfie couple denim couplelook 감성사진 인물사진 청청패션 셀피 셀스타그램 주말데이트 얼스타그램 dailylook 데일리룩 독립영화관 이태원 우사단길 맞팔 소통 l4l f4f,1,0,0,0,
355,7054,https://www.instagram.com/p/Bbt5TADDdYa/,시크헤라 티브랜드 포레스트티 분위기좋은카페 티클래스 디카페인 허브티 티블렌딩 차 티타임 차마시기 foresttea teatime teaclass 블랭크카페블랑 경리단카페 chichera aromatea winter 취미 한남동카페 티 blankcafeblanc tea,0,1,1,1,
